2025-12-01 14:36:06 [INFO] decoder: start input_encoded=encoded.bin input_codebook=codebook.csv output_file=output.txt
2025-12-01 14:36:06 [INFO] decoder: load_codebook entries=77
2025-12-01 14:36:06 [INFO] decoder: build_tree done
2025-12-01 14:36:06 [INFO] decoder: decode_bitstream begin
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=9196 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=9324 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=9491 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=11285 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=11702 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=12480 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=15223 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=15333 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=16290 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=17184 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=17262 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=17328 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=20342 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=20448 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=23451 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=23553 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=25379 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=25567 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=25761 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=25966 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=31598 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=31820 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=32229 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=33965 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=34358 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=35267 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=37036 reason=unexpected_prefix
2025-12-01 14:36:06 [ERROR] decoder: invalid_codeword bit_position=37121 reason=unexpected_prefix
